2025-09-13 11:56:49 UTC | INFO     | __main__ | 🚀 Starting Telegram Bot...
2025-09-13 11:56:49 UTC | INFO     | __main__ | 📅 Start time: 2025-09-13 14:56:49.049302+03:00
2025-09-13 11:56:49 UTC | INFO     | __main__ | 🤖 Bot created with token: 83143487...
2025-09-13 11:56:49 UTC | INFO     | __main__ | 📡 Dispatcher configured with routers
2025-09-13 11:56:49 UTC | INFO     | db.db | Database initialized successfully
2025-09-13 11:56:49 UTC | INFO     | db.db | Database initialized: data/bot.sqlite3
2025-09-13 11:56:49 UTC | INFO     | __main__ | 💾 Database initialized successfully
2025-09-13 11:56:49 UTC | INFO     | reports.report_manager | ReportManager initialized with reports directory: reports_output
2025-09-13 11:56:49 UTC | INFO     | utils.adapter | ✅ All adapters initialized successfully
2025-09-13 11:56:49 UTC | INFO     | handlers.commands | ✅ [Commands] Initialized 2 administrators: [272015356, 430284648]
2025-09-13 11:56:49 UTC | INFO     | reports.report_manager | ReportManager initialized with reports directory: reports_output
2025-09-13 11:56:49 UTC | INFO     | reports.scheduler | 🕒 [Scheduler] Initialized with default config
2025-09-13 11:56:49 UTC | INFO     | reports.report_manager | ReportManager initialized with reports directory: reports_output
2025-09-13 11:56:49 UTC | INFO     | reports.scheduler | 🕒 [Scheduler] Initialized with default config
2025-09-13 11:56:49 UTC | INFO     | handlers.commands | 🕒 [Commands] ReportScheduler initialized successfully
2025-09-13 11:56:49 UTC | INFO     | reports.scheduler | 🔧 [Scheduler] Configuration updated: time=09:00:00, chats=0, enabled=False
2025-09-13 11:56:49 UTC | INFO     | __main__ | ⏸️ Scheduler configured but not started (disabled or no target chats)
2025-09-13 11:56:49 UTC | INFO     | __main__ | 🚀 All components initialized successfully
2025-09-13 11:56:49 UTC | INFO     | __main__ | 🤖 Bot started: @statistickzbot (Statistic_bot)
2025-09-13 11:56:49 UTC | INFO     | __main__ | 🔄 Starting bot in polling mode...
2025-09-13 11:59:09 UTC | WARNING  | aiogram.dispatcher | Received SIGTERM signal
2025-09-13 11:59:09 UTC | INFO     | __main__ | 🛑 Starting graceful shutdown...
2025-09-13 11:59:09 UTC | INFO     | __main__ | ⏰ Scheduler stopped
2025-09-13 11:59:09 UTC | INFO     | __main__ | 🤖 Bot session closed
2025-09-13 11:59:09 UTC | INFO     | __main__ | ✅ Graceful shutdown completed
2025-09-13 11:59:15 UTC | INFO     | __main__ | 🚀 Starting Telegram Bot...
2025-09-13 11:59:15 UTC | INFO     | __main__ | 📅 Start time: 2025-09-13 14:59:15.064352+03:00
2025-09-13 11:59:15 UTC | INFO     | __main__ | 🤖 Bot created with token: 83143487...
2025-09-13 11:59:15 UTC | INFO     | __main__ | 📡 Dispatcher configured with routers
2025-09-13 11:59:15 UTC | INFO     | db.db | Database initialized successfully
2025-09-13 11:59:15 UTC | INFO     | db.db | Database initialized: data/bot.sqlite3
2025-09-13 11:59:15 UTC | INFO     | __main__ | 💾 Database initialized successfully
2025-09-13 11:59:15 UTC | INFO     | reports.report_manager | ReportManager initialized with reports directory: reports_output
2025-09-13 11:59:15 UTC | INFO     | utils.adapter | ✅ All adapters initialized successfully
2025-09-13 11:59:15 UTC | INFO     | handlers.commands | ✅ [Commands] Initialized 2 administrators: [272015356, 430284648]
2025-09-13 11:59:15 UTC | INFO     | reports.report_manager | ReportManager initialized with reports directory: reports_output
2025-09-13 11:59:15 UTC | INFO     | reports.scheduler | 🕒 [Scheduler] Initialized with default config
2025-09-13 11:59:15 UTC | INFO     | handlers.commands | 🕒 [Commands] ReportScheduler initialized successfully
2025-09-13 11:59:15 UTC | INFO     | reports.scheduler | 🔧 [Scheduler] Configuration updated: time=09:00:00, chats=0, enabled=False
2025-09-13 11:59:15 UTC | INFO     | __main__ | ⏸️ Scheduler configured but not started (disabled or no target chats)
2025-09-13 11:59:15 UTC | INFO     | __main__ | 🚀 All components initialized successfully
2025-09-13 11:59:15 UTC | INFO     | __main__ | 🤖 Bot started: @statistickzbot (Statistic_bot)
2025-09-13 11:59:15 UTC | INFO     | __main__ | 🔄 Starting bot in polling mode...
2025-09-13 12:08:08 UTC | WARNING  | aiogram.dispatcher | Received SIGTERM signal
2025-09-13 12:08:09 UTC | INFO     | __main__ | 🛑 Starting graceful shutdown...
